Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
ATO0301,King Gizzard And The Lizard Wizard,Nonagon Infinity ,ATO Records,"LP, Album, RP, Neo",4,2020,15769627,Uncategorized,2021-05-29 12:14:45,Near Mint (NM or M-),Near Mint (NM or M-),
0882239213,King Gizzard And The Lizard Wizard,Paper Mâché Dream Balloon,"ATO Records, Flightless","LP, Album, Ora",3,2015,7699597,Uncategorized,2021-01-08 16:56:29,Near Mint (NM or M-),Near Mint (NM or M-),
"ATO0420, FLT-037",King Gizzard And The Lizard Wizard,Gumboot Soup,"ATO Records, Flightless","LP, Album, Ora",3,2018,11954850,Uncategorized,2021-01-08 16:57:19,Near Mint (NM or M-),Near Mint (NM or M-),
BF112,Hiatus Kaiyote,Mood Valiant,Brainfeeder,"LP, Album",,2021,19242826,Uncategorized,2022-01-12 04:59:42,Near Mint (NM or M-),Near Mint (NM or M-),
ML 4004,"Ludwig van Beethoven, Rudolf Serkin, Bruno Walter Conducting The Philharmonic-Symphony Orchestra Of New York","Concerto No. 5 In E Flat Major, Op. 73 ""Emperor""",Columbia Masterworks,"LP, Mono, RP",,0,4927293,Uncategorized,2021-05-29 12:21:14,Poor (P),Poor (P),
"88843045321, 1939978161S1, CMBO-781616",MGMT,Oracular Spectacular,"Columbia, Columbia, Columbia","LP, Album, RSD, RE, Hot",,2022,24626966,Uncategorized,2024-01-03 16:58:41,Mint (M),Mint (M),
075678645853,Weezer,OK Human,"Crush Music (2), Atlantic","LP, Album, Ltd, Cle",3,2021,17272615,Uncategorized,2021-08-03 19:55:31,Very Good Plus (VG+),Mint (M),
00602508464669,Kanye West,Jesus Is King,"Def Jam Recordings, Getting Out Our Dreams","LP, Album, Blu",2,2020,15163360,Uncategorized,2021-01-21 16:54:58,Very Good Plus (VG+),Mint (M),
"ECM 2550, 481 6497, ECM New Series 2550",The Danish String Quartet,Last Leaf,"ECM Records, ECM Records, ECM New Series, ECM New Series","LP, Album",4,2018,12172066,Uncategorized,2021-05-29 12:11:53,Very Good Plus (VG+),Mint (M),
FLT-053,King Gizzard And The Lizard Wizard,Infest The Rats' Nest,Flightless,"LP, Album, Bla",,2019,13992352,Uncategorized,2021-05-29 12:20:29,Mint (M),Mint (M),
7567-86696-3,Twenty One Pilots,Blurryface,Fueled By Ramen,"2xLP, Album",3,2015,8007072,Uncategorized,2021-04-22 10:23:47,Mint (M),Mint (M),
B0025152-01,Weezer,Weezer,"Geffen Records, UMe","LP, Album, RE, RM",3,2016,9253620,Uncategorized,2020-12-26 14:45:25,Near Mint (NM or M-),Mint (M),
244549392,Tame Impala,Lonerism,"Island Records, Interscope Records, Fiction Records, Virgin Music Group","2xLP, Album, RE + LP + Box, S/Edition, 10 ",,2023,27194601,Uncategorized,2024-01-03 16:59:43,Mint (M),Mint (M),
"JAG350, JAG 350",Bon Iver,"i,i","Jagjaguwar, Jagjaguwar","LP, Album",4,2019,14041411,Uncategorized,2021-04-22 10:26:31,Good Plus (G+),Mint (M),
TC 282,Various,The Elite,"K-Tel, K-Tel","LP, Comp",,1981,10680737,Uncategorized,2024-01-03 16:57:26,Poor (P),Fair (F),
MOVLP1422,Hiatus Kaiyote,Choose Your Weapon,"Music On Vinyl, Flying Buddha","2xLP, Album, Ltd, Num, RE, Pin",,2020,15361611,Uncategorized,2021-12-24 14:58:16,Mint (M),Mint (M),
0190295643423,Gorillaz,The Now Now,Parlophone,"LP, Album",,2018,12186161,Uncategorized,2023-01-29 17:29:41,Mint (M),Mint (M),
"PFRLP18, 0190295996918",Pink Floyd,Relics,"Pink Floyd Records, Pink Floyd Records","LP, Comp, Mono, RE, RM, 180",3,2018,12008228,Uncategorized,2020-12-26 14:43:16,Very Good Plus (VG+),Mint (M),
"PFRLP5, 0190295997083",Pink Floyd,Atom Heart Mother,"Pink Floyd Records, Pink Floyd Records","LP, Album, RE, RM, Gat",3,2016,9063835,Uncategorized,2020-12-26 14:44:33,Mint (M),Mint (M),
"PFRLP8, 88875184251",Pink Floyd,The Dark Side Of The Moon,"Pink Floyd Records, Pink Floyd Records","LP, Album, RE, RM, 180",3,2016,9296607,Uncategorized,2021-01-01 10:18:36,Mint (M),Mint (M),
none,"Ludwig van Beethoven, Berliner Philharmoniker",Nine Symphonies,VH & S,"Box, S/Edition + 8xLP, Comp",,0,6711196,Uncategorized,2021-05-29 12:23:30,Poor (P),Good Plus (G+),
warp lp 338,Autechre,PLUS,Warp Records,"2xLP, Album",,2020,16240829,Uncategorized,2023-01-29 17:40:19,Near Mint (NM or M-),Near Mint (NM or M-),
